2.619998 11862.709961 -1.#IND00 -1.#IND00 
2.629998 11862.709961 -1.#IND00 -1.#IND00 
2.639998 11862.709961 -1.#IND00 -1.#IND00 
2.649998 11862.709961 -1.#IND00 -1.#IND00 
2.659998 11862.709961 -1.#IND00 -1.#IND00 
2.669998 11862.709961 -1.#IND00 -1.#IND00 
2.679998 11862.709961 -1.#IND00 -1.#IND00 
2.689998 11862.709961 -1.#IND00 -1.#IND00 
2.699998 11862.709961 -1.#IND00 -1.#IND00 
2.709998 11862.709961 -1.#IND00 -1.#IND00 
2.719998 11862.709961 -1.#IND00 -1.#IND00 
2.729998 11862.709961 -1.#IND00 -1.#IND00 
2.739998 11862.709961 -1.#IND00 -1.#IND00 
2.749998 11862.709961 -1.#IND00 -1.#IND00 
2.759998 11862.709961 -1.#IND00 -1.#IND00 
2.769998 11862.709961 -1.#IND00 -1.#IND00 
2.779998 11862.709961 -1.#IND00 -1.#IND00 
2.789998 11862.709961 -1.#IND00 -1.#IND00 
2.799998 11862.709961 -1.#IND00 -1.#IND00 
2.809998 11862.709961 -1.#IND00 -1.#IND00 
2.819998 11862.709961 -1.#IND00 -1.#IND00 
2.829998 11862.709961 -1.#IND00 -1.#IND00 
2.839998 11862.709961 -1.#IND00 -1.#IND00 
2.849998 11862.709961 -1.#IND00 -1.#IND00 
2.859998 11862.709961 -1.#IND00 -1.#IND00 
2.869998 11862.709961 -1.#IND00 -1.#IND00 
2.879998 11862.709961 -1.#IND00 -1.#IND00 
2.889998 11862.709961 -1.#IND00 -1.#IND00 
2.899998 11862.709961 -1.#IND00 -1.#IND00 
2.909998 11862.709961 -1.#IND00 -1.#IND00 
2.919998 11862.709961 -1.#IND00 -1.#IND00 
2.929998 11862.709961 -1.#IND00 -1.#IND00 
2.939998 11862.709961 -1.#IND00 -1.#IND00 
2.949998 11862.709961 -1.#IND00 -1.#IND00 
2.959998 11862.709961 -1.#IND00 -1.#IND00 
2.969998 11862.709961 -1.#IND00 -1.#IND00 
2.979998 11862.709961 -1.#IND00 -1.#IND00 
2.989998 11862.709961 -1.#IND00 -1.#IND00 
2.999998 11862.709961 -1.#IND00 -1.#IND00 
3.009998 11862.709961 -1.#IND00 -1.#IND00 
3.019998 11862.709961 -1.#IND00 -1.#IND00 
3.029998 11862.709961 -1.#IND00 -1.#IND00 
3.039998 11862.709961 -1.#IND00 -1.#IND00 
3.049998 11862.709961 -1.#IND00 -1.#IND00 
3.059998 11862.709961 -1.#IND00 -1.#IND00 
3.069998 11862.709961 -1.#IND00 -1.#IND00 
3.079998 11862.709961 -1.#IND00 -1.#IND00 
3.089998 11862.709961 -1.#IND00 -1.#IND00 
3.099998 11862.709961 -1.#IND00 -1.#IND00 
3.109998 11862.709961 -1.#IND00 -1.#IND00 
3.119998 11862.709961 -1.#IND00 -1.#IND00 
3.129997 11862.709961 -1.#IND00 -1.#IND00 
3.139997 11862.709961 -1.#IND00 -1.#IND00 
3.149997 11862.709961 -1.#IND00 -1.#IND00 
3.159997 11862.709961 -1.#IND00 -1.#IND00 
3.169997 11862.709961 -1.#IND00 -1.#IND00 
3.179997 11862.709961 -1.#IND00 -1.#IND00 
3.189997 11862.709961 -1.#IND00 -1.#IND00 
3.199997 11862.709961 -1.#IND00 -1.#IND00 
3.209997 11862.709961 -1.#IND00 -1.#IND00 
3.219997 11862.709961 -1.#IND00 -1.#IND00 
3.229997 11862.709961 -1.#IND00 -1.#IND00 
3.239997 11862.709961 -1.#IND00 -1.#IND00 
3.249997 11862.709961 -1.#IND00 -1.#IND00 
3.259997 11862.709961 -1.#IND00 -1.#IND00 
3.269997 11862.709961 -1.#IND00 -1.#IND00 
3.279997 11862.709961 -1.#IND00 -1.#IND00 
3.289997 11862.709961 -1.#IND00 -1.#IND00 
3.299997 11862.709961 -1.#IND00 -1.#IND00 
3.309997 11862.709961 -1.#IND00 -1.#IND00 
3.319997 11862.709961 -1.#IND00 -1.#IND00 
3.329997 11862.709961 -1.#IND00 -1.#IND00 
3.339997 11862.709961 -1.#IND00 -1.#IND00 
3.349997 11862.709961 -1.#IND00 -1.#IND00 
3.359997 11862.709961 -1.#IND00 -1.#IND00 
3.369997 11862.709961 -1.#IND00 -1.#IND00 
3.379997 11862.709961 -1.#IND00 -1.#IND00 
3.389997 11862.709961 -1.#IND00 -1.#IND00 
3.399997 11862.709961 -1.#IND00 -1.#IND00 
3.409997 11862.709961 -1.#IND00 -1.#IND00 
3.419997 11862.709961 -1.#IND00 -1.#IND00 
3.429997 11862.709961 -1.#IND00 -1.#IND00 
3.439997 11862.709961 -1.#IND00 -1.#IND00 
3.449997 11862.709961 -1.#IND00 -1.#IND00 
3.459997 11862.709961 -1.#IND00 -1.#IND00 
3.469997 11862.709961 -1.#IND00 -1.#IND00 
3.479997 11862.709961 -1.#IND00 -1.#IND00 
3.489997 11862.709961 -1.#IND00 -1.#IND00 
3.499997 11862.709961 -1.#IND00 -1.#IND00 
3.509997 11862.709961 -1.#IND00 -1.#IND00 
3.519997 11862.709961 -1.#IND00 -1.#IND00 
3.529997 11862.709961 -1.#IND00 -1.#IND00 
3.539997 11862.709961 -1.#IND00 -1.#IND00 
3.549997 11862.709961 -1.#IND00 -1.#IND00 
3.559997 11862.709961 -1.#IND00 -1.#IND00 
3.569997 11862.709961 -1.#IND00 -1.#IND00 
3.579997 11862.709961 -1.#IND00 -1.#IND00 
3.589997 11862.709961 -1.#IND00 -1.#IND00 
3.599997 11862.709961 -1.#IND00 -1.#IND00 
3.609997 11862.709961 -1.#IND00 -1.#IND00 
3.619997 11862.709961 -1.#IND00 -1.#IND00 
3.629997 11862.709961 -1.#IND00 -1.#IND00 
3.639997 11862.709961 -1.#IND00 -1.#IND00 
3.649997 11862.709961 -1.#IND00 -1.#IND00 
3.659997 11862.709961 -1.#IND00 -1.#IND00 
3.669997 11862.709961 -1.#IND00 -1.#IND00 
3.679997 11862.709961 -1.#IND00 -1.#IND00 
3.689997 11862.709961 -1.#IND00 -1.#IND00 
3.699997 11862.709961 -1.#IND00 -1.#IND00 
3.709997 11862.709961 -1.#IND00 -1.#IND00 
3.719997 11862.709961 -1.#IND00 -1.#IND00 
3.729997 11862.709961 -1.#IND00 -1.#IND00 
3.739997 11862.709961 -1.#IND00 -1.#IND00 
3.749997 11862.709961 -1.#IND00 -1.#IND00 
3.759997 11862.709961 -1.#IND00 -1.#IND00 
3.769997 11862.709961 -1.#IND00 -1.#IND00 
3.779997 11862.709961 -1.#IND00 -1.#IND00 
3.789997 11862.709961 -1.#IND00 -1.#IND00 
3.799997 11862.709961 -1.#IND00 -1.#IND00 
3.809997 11862.709961 -1.#IND00 -1.#IND00 
3.819997 11862.709961 -1.#IND00 -1.#IND00 
3.829997 11862.709961 -1.#IND00 -1.#IND00 
3.839997 11862.709961 -1.#IND00 -1.#IND00 
3.849997 11862.709961 -1.#IND00 -1.#IND00 
3.859997 11862.709961 -1.#IND00 -1.#IND00 
3.869997 11862.709961 -1.#IND00 -1.#IND00 
3.879997 11862.709961 -1.#IND00 -1.#IND00 
3.889997 11862.709961 -1.#IND00 -1.#IND00 
3.899997 11862.709961 -1.#IND00 -1.#IND00 
3.909997 11862.709961 -1.#IND00 -1.#IND00 
3.919997 11862.709961 -1.#IND00 -1.#IND00 
3.929997 11862.709961 -1.#IND00 -1.#IND00 
